"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","MEGAHIT-MetaBAT2-ERR2143759.7","MEGAHIT-MetaBAT2-ERR2143760.4","SPAdes-MetaBAT2-ERR2143759.4","SPAdes-MetaBAT2-ERR2143760.5"
"ribBA","","Riboflavin biosynthesis protein RibBA","4","4","1","121","4","","","","1124","1124","1124","KKNACEHJ_02675","OJEIIDGO_01673","EDDCBIGE_01865","KOKFBEGO_02373"
"group_2852","","hypothetical protein","4","4","1","255","3","","","","239","239","239","KKNACEHJ_02584","OJEIIDGO_02893","EDDCBIGE_03472","KOKFBEGO_03552"
"group_2853","hldE_1","Bifunctional protein HldE","4","4","1","4","54","","","","1019","1019","1019","KKNACEHJ_01771","OJEIIDGO_01324","EDDCBIGE_01561","KOKFBEGO_00006"
"group_2854","","hypothetical protein","4","4","1","8","20","","","","350","350","350","KKNACEHJ_02368","OJEIIDGO_00580","EDDCBIGE_00631","KOKFBEGO_00054"
"nagB","","Glucosamine-6-phosphate deaminase","4","4","1","6","29","","","","1979","1979","1979","KKNACEHJ_02431","OJEIIDGO_02478","EDDCBIGE_02284","KOKFBEGO_02196"
"group_2856","","hypothetical protein","4","4","1","212","4","","","","479","479","479","KKNACEHJ_00900","OJEIIDGO_00901","EDDCBIGE_03667","KOKFBEGO_03710"
"group_2857","","hypothetical protein","4","4","1","5","46","","","","755","755","755","KKNACEHJ_02491","OJEIIDGO_00777","EDDCBIGE_02140","KOKFBEGO_02169"
"group_2858","","hypothetical protein","4","4","1","7","6","","","","179","179","179","KKNACEHJ_01931","OJEIIDGO_01182","EDDCBIGE_00243","KOKFBEGO_02421"
"mshA_7","","D-inositol-3-phosphate glycosyltransferase","4","4","1","98","11","","","","1175","1175","1175","KKNACEHJ_03010","OJEIIDGO_03855","EDDCBIGE_02528","KOKFBEGO_01512"
"group_286","","hypothetical protein","4","4","1","20","13","","","","1112","1139","1118","KKNACEHJ_00690","OJEIIDGO_02279","EDDCBIGE_01730","KOKFBEGO_03213"
"dat","","D-alanine aminotransferase","4","4","1","56","13","","","","842","842","842","KKNACEHJ_01015","OJEIIDGO_01694","EDDCBIGE_02730","KOKFBEGO_01098"
"group_2861","","hypothetical protein","4","4","1","22","31","","","","1265","1265","1265","KKNACEHJ_03575","OJEIIDGO_03229","EDDCBIGE_03214","KOKFBEGO_00600"
"group_2862","","hypothetical protein","4","4","1","174","7","","","","950","950","950","KKNACEHJ_02115","OJEIIDGO_03684","EDDCBIGE_01080","KOKFBEGO_02619"
"group_2863","","hypothetical protein","4","4","1","52","20","","","","1298","1298","1298","KKNACEHJ_03684","OJEIIDGO_02073","EDDCBIGE_02516","KOKFBEGO_00221"
"group_2864","","hypothetical protein","4","4","1","103","5","","","","884","884","884","KKNACEHJ_01324","OJEIIDGO_01275","EDDCBIGE_01971","KOKFBEGO_01855"
"group_2865","","hypothetical protein","4","4","1","99","5","","","","704","704","704","KKNACEHJ_01698","OJEIIDGO_00165","EDDCBIGE_02812","KOKFBEGO_02773"
"murB","","UDP-N-acetylenolpyruvoylglucosamine reductase","4","4","1","46","9","","","","1016","1016","1016","KKNACEHJ_02293","OJEIIDGO_00762","EDDCBIGE_02410","KOKFBEGO_02863"
"group_2867","","hypothetical protein","4","4","1","171","5","","","","2903","2903","2903","KKNACEHJ_02140","OJEIIDGO_00018","EDDCBIGE_02128","KOKFBEGO_02045"
"group_2868","","hypothetical protein","4","4","1","38","5","","","","962","962","962","KKNACEHJ_03757","OJEIIDGO_02340","EDDCBIGE_01118","KOKFBEGO_03112"
"tal","","Transaldolase","4","4","1","133","3","","","","659","659","659","KKNACEHJ_01638","OJEIIDGO_02611","EDDCBIGE_02492","KOKFBEGO_03011"
"pgi","","Glucose-6-phosphate isomerase","4","4","1","19","7","","","","350","1649","1324","KKNACEHJ_00692","OJEIIDGO_01606","EDDCBIGE_01530","KOKFBEGO_00705"
"group_2870","","hypothetical protein","4","4","1","166","6","","","","440","440","440","KKNACEHJ_03373","OJEIIDGO_01018","EDDCBIGE_02631","KOKFBEGO_03003"
"group_2871","","hypothetical protein","4","4","1","17","3","","","","746","746","746","KKNACEHJ_00598","OJEIIDGO_03864","EDDCBIGE_00044","KOKFBEGO_02909"
"lolD_3","","Lipoprotein-releasing system ATP-binding protein LolD","4","4","1","88","14","","","","677","677","677","KKNACEHJ_02037","OJEIIDGO_01663","EDDCBIGE_03564","KOKFBEGO_01610"
"leuA_1","","2-isopropylmalate synthase","4","4","1","71","2","","","","1532","1532","1532","KKNACEHJ_01137","OJEIIDGO_00260","EDDCBIGE_00538","KOKFBEGO_01980"
"ypdB_1","","Transcriptional regulatory protein YpdB","4","4","1","11","19","","","","749","749","749","KKNACEHJ_02233","OJEIIDGO_01922","EDDCBIGE_00159","KOKFBEGO_00370"
"thiE_2","","Thiamine-phosphate synthase","4","4","1","32","8","","","","635","635","635","KKNACEHJ_03239","OJEIIDGO_01760","EDDCBIGE_02656","KOKFBEGO_00439"
"group_2876","","hypothetical protein","4","4","1","35","16","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","1520","1520","1520","KKNACEHJ_00286","OJEIIDGO_00648","EDDCBIGE_03706","KOKFBEGO_02963"
"group_2877","","hypothetical protein","4","4","1","105","4","","","","470","470","470","KKNACEHJ_02182","OJEIIDGO_01783","EDDCBIGE_02025","KOKFBEGO_01950"
"group_2878","","hypothetical protein","4","4","1","122","3","","","","446","446","446","KKNACEHJ_02383","OJEIIDGO_02958","EDDCBIGE_03501","KOKFBEGO_02117"
"group_2879","","hypothetical protein","4","4","1","137","4","","","","1829","1829","1829","KKNACEHJ_01952","OJEIIDGO_00753","EDDCBIGE_02626","KOKFBEGO_03403"
"yknY","","putative ABC transporter ATP-binding protein YknY","4","4","1","108","2","","","","632","686","645","KKNACEHJ_00719","OJEIIDGO_01678","EDDCBIGE_01818","KOKFBEGO_01727"
"group_2880","","hypothetical protein","4","4","1","9","25","","","","980","980","980","KKNACEHJ_03228","OJEIIDGO_00038","EDDCBIGE_00200","KOKFBEGO_02265"
"group_2881","","hypothetical protein","4","4","1","229","4","","","","710","710","710","KKNACEHJ_03254","OJEIIDGO_02877","EDDCBIGE_02369","KOKFBEGO_02319"
"group_2882","","hypothetical protein","4","4","1","69","1","","","","326","326","326","KKNACEHJ_00144","OJEIIDGO_01884","EDDCBIGE_02237","KOKFBEGO_03058"
"group_2883","","hypothetical protein","4","4","1","7","42","","","","2894","2894","2894","KKNACEHJ_03021","OJEIIDGO_01621","EDDCBIGE_03447","KOKFBEGO_00426"
"group_2884","","hypothetical protein","4","4","1","18","27","","","","1151","1151","1151","KKNACEHJ_00336","OJEIIDGO_02839","EDDCBIGE_02999","KOKFBEGO_02976"
"group_2885","COQ5_2","2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial","4","4","1","54","17","","","","668","668","668","KKNACEHJ_01629","OJEIIDGO_00328","EDDCBIGE_03280","KOKFBEGO_01241"
"pal_12","","Peptidoglycan-associated lipoprotein","4","4","1","126","9","","","","1070","1070","1070","KKNACEHJ_02512","OJEIIDGO_03015","EDDCBIGE_03495","KOKFBEGO_03438"
"group_2887","","hypothetical protein","4","4","1","7","31","","","","875","875","875","KKNACEHJ_03389","OJEIIDGO_03906","EDDCBIGE_02778","KOKFBEGO_02299"
"group_2888","","hypothetical protein","4","4","1","2","13","","","","209","209","209","KKNACEHJ_02962","OJEIIDGO_02452","EDDCBIGE_03178","KOKFBEGO_01159"
"group_2889","","hypothetical protein","4","4","1","19","29","","","","962","962","962","KKNACEHJ_00529","OJEIIDGO_00828","EDDCBIGE_00506","KOKFBEGO_00721"
"sbcD","","hypothetical protein","4","4","1","13","3","","","","389","1208","798","KKNACEHJ_00734","OJEIIDGO_02446","EDDCBIGE_00002","KOKFBEGO_03573"
"group_2890","","hypothetical protein","4","4","1","255","2","","","","983","983","983","KKNACEHJ_02585","OJEIIDGO_02894","EDDCBIGE_03473","KOKFBEGO_03551"
"group_2891","","hypothetical protein","4","4","1","121","3","","","","605","605","605","KKNACEHJ_02674","OJEIIDGO_03746","EDDCBIGE_01866","KOKFBEGO_03305"
"group_2892","","hypothetical protein","4","4","1","57","4","","","","359","359","359","KKNACEHJ_01833","OJEIIDGO_00842","EDDCBIGE_02003","KOKFBEGO_01880"
"mshA_9","","D-inositol-3-phosphate glycosyltransferase","4","4","1","144","5","","","","1127","1127","1127","KKNACEHJ_02566","OJEIIDGO_02458","EDDCBIGE_03012","KOKFBEGO_02950"
"group_2894","","hypothetical protein","4","4","1","174","5","","","","920","920","920","KKNACEHJ_02904","OJEIIDGO_01151","EDDCBIGE_01082","KOKFBEGO_02555"
"group_2895","","hypothetical protein","4","4","1","124","1","","","","674","674","674","KKNACEHJ_02916","OJEIIDGO_00271","EDDCBIGE_01875","KOKFBEGO_01746"
"rpsI","","30S ribosomal protein S9","4","4","1","80","10","","","","386","386","386","KKNACEHJ_00855","OJEIIDGO_03613","EDDCBIGE_02651","KOKFBEGO_01338"
"group_2897","","TonB-dependent receptor P3","4","4","1","62","14","","","","3221","3221","3221","KKNACEHJ_01556","OJEIIDGO_01656","EDDCBIGE_01227","KOKFBEGO_01125"
"group_2898","","hypothetical protein","4","4","1","212","5","","","","794","794","794","KKNACEHJ_00899","OJEIIDGO_00900","EDDCBIGE_03668","KOKFBEGO_03711"
"wbpD","","UDP-2-acetamido-3-amino-2,3-dideoxy-D-glucuronate N-acetyltransferase","4","4","1","92","15","","","","572","572","572","KKNACEHJ_00781","OJEIIDGO_02245","EDDCBIGE_01574","KOKFBEGO_01632"
"group_290","","hypothetical protein","4","4","1","92","4","","","","536","917","821","KKNACEHJ_00777","OJEIIDGO_02240","EDDCBIGE_01579","KOKFBEGO_01637"
"tmk","","Thymidylate kinase","4","4","1","35","23","","","","620","620","620","KKNACEHJ_02850","OJEIIDGO_03833","EDDCBIGE_01238","KOKFBEGO_02676"
"rsgA","","Small ribosomal subunit biogenesis GTPase RsgA","4","4","1","14","17","","","","938","938","938","KKNACEHJ_01680","OJEIIDGO_01147","EDDCBIGE_01589","KOKFBEGO_00161"
"group_2902","","hypothetical protein","4","4","1","103","4","","","","794","794","794","KKNACEHJ_01325","OJEIIDGO_01276","EDDCBIGE_01970","KOKFBEGO_01856"
"group_2903","","hypothetical protein","4","4","1","10","28","","","","239","239","239","KKNACEHJ_02106","OJEIIDGO_03990","EDDCBIGE_00122","KOKFBEGO_00094"
"group_2904","","hypothetical protein","4","4","1","52","21","","","","2243","2243","2243","KKNACEHJ_03685","OJEIIDGO_02074","EDDCBIGE_02517","KOKFBEGO_00220"
"group_2905","","hypothetical protein","4","4","1","76","6","","","","2225","2225","2225","KKNACEHJ_03320","OJEIIDGO_01586","EDDCBIGE_02074","KOKFBEGO_00921"
"group_2906","","hypothetical protein","4","4","1","15","41","","","","641","641","641","KKNACEHJ_00202","OJEIIDGO_02798","EDDCBIGE_00937","KOKFBEGO_00994"
"group_2907","","hypothetical protein","4","4","1","174","2","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","1508","1508","1508","KKNACEHJ_02114","OJEIIDGO_01253","EDDCBIGE_01079","KOKFBEGO_03740"
"group_2908","mdtC_1","Multidrug resistance protein MdtC","4","4","1","52","3","","","","4286","4286","4286","KKNACEHJ_00542","OJEIIDGO_02031","EDDCBIGE_02486","KOKFBEGO_00214"
"rpoN","","RNA polymerase sigma-54 factor","4","4","1","22","30","","","","1487","1487","1487","KKNACEHJ_03574","OJEIIDGO_03228","EDDCBIGE_03215","KOKFBEGO_00601"
"xdh","","D-xylose dehydrogenase","4","4","1","92","6","","","","1145","1202","1159","KKNACEHJ_00779","OJEIIDGO_02242","EDDCBIGE_01577","KOKFBEGO_01635"
"group_2910","","hypothetical protein","4","4","1","18","28","","","","710","710","710","KKNACEHJ_01860","OJEIIDGO_02838","EDDCBIGE_01671","KOKFBEGO_03402"
"group_2911","","hypothetical protein","4","4","1","90","3","","","","680","680","680","KKNACEHJ_00927","OJEIIDGO_00444","EDDCBIGE_02214","KOKFBEGO_02149"
"group_2912","","hypothetical protein","4","4","1","49","7","","","","509","509","509","KKNACEHJ_00264","OJEIIDGO_02687","EDDCBIGE_01006","KOKFBEGO_01390"
"group_2913","","hypothetical protein","4","4","1","259","3","","","","641","641","641","KKNACEHJ_03612","OJEIIDGO_02167","EDDCBIGE_03506","KOKFBEGO_03472"
"arnT_1","","Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase","4","4","1","11","44","","","","1571","1571","1571","KKNACEHJ_00623","OJEIIDGO_01247","EDDCBIGE_00177","KOKFBEGO_00648"
"group_2915","","hypothetical protein","4","4","1","55","2","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","3404","3404","3404","KKNACEHJ_00946","OJEIIDGO_02656","EDDCBIGE_00290","KOKFBEGO_02012"
"clpC","","ATP-dependent Clp protease ATP-binding subunit ClpC","4","4","1","1","80","","","","2546","2546","2546","KKNACEHJ_00121","OJEIIDGO_03268","EDDCBIGE_01495","KOKFBEGO_00614"
"group_2917","","hypothetical protein","4","4","1","19","20","","","","638","638","638","KKNACEHJ_00072","OJEIIDGO_00057","EDDCBIGE_03459","KOKFBEGO_00717"
"trmH_1","","tRNA (guanosine(18)-2'-O)-methyltransferase","4","4","1","101","10","","","","635","635","635","KKNACEHJ_00275","OJEIIDGO_00964","EDDCBIGE_01597","KOKFBEGO_01487"
"group_2919","","hypothetical protein","4","4","1","8","21","","","","713","713","713","KKNACEHJ_02369","OJEIIDGO_00581","EDDCBIGE_00632","KOKFBEGO_00055"
"group_292","","hypothetical protein","4","4","1","92","13","","","","1586","2267","1926","KKNACEHJ_00783","OJEIIDGO_02247","EDDCBIGE_01572","KOKFBEGO_01630"
"murA","","UDP-N-acetylglucosamine 1-carboxyvinyltransferase","4","4","1","46","18","","","","1304","1304","1304","KKNACEHJ_02301","OJEIIDGO_02053","EDDCBIGE_00765","KOKFBEGO_00565"
"yciO","","putative protein YciO","4","4","1","56","3","","","","608","608","608","KKNACEHJ_03437","OJEIIDGO_02913","EDDCBIGE_02397","KOKFBEGO_03329"
"rhaR_4","","HTH-type transcriptional activator RhaR","4","4","1","48","21","","","","899","899","899","KKNACEHJ_01945","OJEIIDGO_03487","EDDCBIGE_02427","KOKFBEGO_02789"
"ftsH","","ATP-dependent zinc metalloprotease FtsH","4","4","1","6","44","","","","1967","1967","1967","KKNACEHJ_03363","OJEIIDGO_03075","EDDCBIGE_03345","KOKFBEGO_03298"
"group_2924","","hypothetical protein","4","4","1","108","1","","","","1238","1238","1238","KKNACEHJ_00718","OJEIIDGO_01677","EDDCBIGE_01817","KOKFBEGO_01726"
"group_2925","","hypothetical protein","4","4","1","208","2","","","","545","545","545","KKNACEHJ_01359","OJEIIDGO_02633","EDDCBIGE_02919","KOKFBEGO_02851"
"nqrF_2","","Na(+)-translocating NADH-quinone reductase subunit F","4","4","1","85","4","","","","341","341","341","KKNACEHJ_03497","OJEIIDGO_01749","EDDCBIGE_01391","KOKFBEGO_01121"
"group_2927","","hypothetical protein","4","4","1","37","10","","","","956","956","956","KKNACEHJ_02445","OJEIIDGO_03704","EDDCBIGE_01204","KOKFBEGO_01265"
"pdg","","Ultraviolet N-glycosylase/AP lyase","4","4","1","225","3","","","","668","668","668","KKNACEHJ_00347","OJEIIDGO_00003","EDDCBIGE_03327","KOKFBEGO_03334"
"group_2929","","hypothetical protein","4","4","1","1","4","","","","2759","2759","2759","KKNACEHJ_03586","OJEIIDGO_00410","EDDCBIGE_01515","KOKFBEGO_00537"
"group_293","","hypothetical protein","4","4","1","3","54","","","","830","1895","1628","KKNACEHJ_00803","OJEIIDGO_02512","EDDCBIGE_01547","KOKFBEGO_00195"
"thiL","","Thiamine-monophosphate kinase","4","4","1","99","6","","","","1037","1037","1037","KKNACEHJ_01699","OJEIIDGO_00166","EDDCBIGE_02811","KOKFBEGO_02774"
"group_2931","","hypothetical protein","4","4","1","237","2","","","","317","317","317","KKNACEHJ_03565","OJEIIDGO_00710","EDDCBIGE_02684","KOKFBEGO_02323"
"group_2932","","hypothetical protein","4","4","1","247","3","","","","473","473","473","KKNACEHJ_01560","OJEIIDGO_00624","EDDCBIGE_03580","KOKFBEGO_03773"
"group_2933","","hypothetical protein","4","4","1","134","7","","","","119","119","119","KKNACEHJ_03298","OJEIIDGO_01995","EDDCBIGE_00589","KOKFBEGO_01446"
"group_2934","","hypothetical protein","4","4","1","15","14","","","","356","356","356","KKNACEHJ_00880","OJEIIDGO_02580","EDDCBIGE_02726","KOKFBEGO_02643"
"dpnC","","Type-2 restriction enzyme DpnI","4","4","1","54","18","","","","779","779","779","KKNACEHJ_02751","OJEIIDGO_02394","EDDCBIGE_03053","KOKFBEGO_01240"
"group_2936","","hypothetical protein","4","4","1","91","10","","","","386","386","386","KKNACEHJ_02410","OJEIIDGO_02228","EDDCBIGE_02008","KOKFBEGO_01079"
"group_2937","","hypothetical protein","4","4","1","133","4","","","","1451","1451","1451","KKNACEHJ_01639","OJEIIDGO_02610","EDDCBIGE_02491","KOKFBEGO_03012"
"group_2938","","hypothetical protein","4","4","1","33","2","","","","368","368","368","KKNACEHJ_03031","OJEIIDGO_03767","EDDCBIGE_00475","KOKFBEGO_03380"
"group_2939","","hypothetical protein","4","4","1","17","4","","","","785","785","785","KKNACEHJ_00599","OJEIIDGO_03865","EDDCBIGE_00045","KOKFBEGO_02908"
"group_294","","hypothetical protein","4","4","1","3","41","","","","797","1472","1134","KKNACEHJ_00813","OJEIIDGO_01342","EDDCBIGE_01537","KOKFBEGO_00205"
"group_2940","","hypothetical protein","4","4","1","81","13","","","","1469","1469","1469","KKNACEHJ_00660","OJEIIDGO_03491","EDDCBIGE_01018","KOKFBEGO_00951"
"frr","","Ribosome-recycling factor","4","4","1","39","17","","","","560","560","560","KKNACEHJ_00005","OJEIIDGO_02337","EDDCBIGE_00433","KOKFBEGO_00275"
"purU_1","","Formyltetrahydrofolate deformylase","4","4","1","32","9","","","","716","716","716","KKNACEHJ_03238","OJEIIDGO_01761","EDDCBIGE_01063","KOKFBEGO_00440"
"group_2943","","Ketol-acid reductoisomerase (NAD(+))","4","4","1","59","19","","","","1046","1046","1046","KKNACEHJ_01709","OJEIIDGO_00119","EDDCBIGE_01377","KOKFBEGO_01421"
"group_2944","","hypothetical protein","4","4","1","20","17","","","","1781","1781","1781","KKNACEHJ_01910","OJEIIDGO_02275","EDDCBIGE_01734","KOKFBEGO_01437"
"group_2945","","hypothetical protein","4","4","1","15","2","","","","752","752","752","KKNACEHJ_01761","OJEIIDGO_02380","EDDCBIGE_02038","KOKFBEGO_00983"
"group_2946","","hypothetical protein","4","4","1","145","7","","","","1400","1400","1400","KKNACEHJ_00842","OJEIIDGO_01190","EDDCBIGE_02414","KOKFBEGO_02480"
"cdaA","","Cyclic di-AMP synthase CdaA","4","4","1","26","16","","","","791","791","791","KKNACEHJ_00703","OJEIIDGO_02624","EDDCBIGE_01711","KOKFBEGO_01996"
"ilvB","","Acetolactate synthase large subunit","4","4","1","53","6","","","","1766","1766","1766","KKNACEHJ_03105","OJEIIDGO_01413","EDDCBIGE_00380","KOKFBEGO_00342"
"uppP","","Undecaprenyl-diphosphatase","4","4","1","70","7","","","","797","797","797","KKNACEHJ_02686","OJEIIDGO_00568","EDDCBIGE_01651","KOKFBEGO_01358"
"group_2950","","hypothetical protein","4","4","1","21","10","","","","146","146","146","KKNACEHJ_01100","OJEIIDGO_03643","EDDCBIGE_01749","KOKFBEGO_01660"
"group_2951","","hypothetical protein","4","4","1","115","5","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","1100","1100","1100","KKNACEHJ_02665","OJEIIDGO_00162","EDDCBIGE_01397","KOKFBEGO_01918"
"group_2952","","Putative two-component membrane permease complex subunit SMU_747c","4","4","1","69","4","","","","977","977","977","KKNACEHJ_00131","OJEIIDGO_01897","EDDCBIGE_03122","KOKFBEGO_01803"
"rplF","","50S ribosomal protein L6","4","4","1","16","15","","","","554","554","554","KKNACEHJ_02000","OJEIIDGO_01373","EDDCBIGE_01673","KOKFBEGO_00512"
"group_2954","","hypothetical protein","4","4","1","24","18","","","","578","578","578","KKNACEHJ_00555","OJEIIDGO_03209","EDDCBIGE_03623","KOKFBEGO_03648"
"mphP","","Phenol hydroxylase P5 protein","4","4","1","11","28","","","","725","725","725","KKNACEHJ_00633","OJEIIDGO_01931","EDDCBIGE_00168","KOKFBEGO_00361"
"group_2956","","hypothetical protein","4","4","1","153","9","","","","1010","1010","1010","KKNACEHJ_01593","OJEIIDGO_03822","EDDCBIGE_02050","KOKFBEGO_02684"
"group_2957","","hypothetical protein","4","4","1","18","21","","","","1808","1808","1808","KKNACEHJ_01856","OJEIIDGO_02834","EDDCBIGE_01667","KOKFBEGO_02153"
"group_2958","","hypothetical protein","4","4","1","54","21","","","","1844","1844","1844","KKNACEHJ_02748","OJEIIDGO_02391","EDDCBIGE_03050","KOKFBEGO_01237"
"rhaS","","HTH-type transcriptional activator RhaS","4","4","1","7","58","","","","929","929","929","KKNACEHJ_00191","OJEIIDGO_03120","EDDCBIGE_02932","KOKFBEGO_03195"
"group_296","","hypothetical protein","4","4","1","107","8","","","","197","767","624","KKNACEHJ_00822","OJEIIDGO_00448","EDDCBIGE_01836","KOKFBEGO_01386"
"group_2960","","hypothetical protein","4","4","1","133","7","","","","389","389","389","KKNACEHJ_01655","OJEIIDGO_02605","EDDCBIGE_03161","KOKFBEGO_02991"
"hisS","","Histidine--tRNA ligase","4","4","1","34","24","","","","1370","1370","1370","KKNACEHJ_02885","OJEIIDGO_03038","EDDCBIGE_02538","KOKFBEGO_03671"
"rgtE_2","","Dodecaprenyl-phosphate galacturonate synthase","4","4","1","24","19","","","","941","941","941","KKNACEHJ_02866","OJEIIDGO_03210","EDDCBIGE_02700","KOKFBEGO_03646"
"group_2963","","hypothetical protein","4","4","1","9","49","","","","725","725","725","KKNACEHJ_00415","OJEIIDGO_00248","EDDCBIGE_00485","KOKFBEGO_00315"
"group_2964","","hypothetical protein","4","4","1","90","8","","","","821","821","821","KKNACEHJ_00937","OJEIIDGO_00434","EDDCBIGE_02667","KOKFBEGO_02602"
"fadF_2","","putative iron-sulfur-binding oxidoreductase FadF","4","4","1","34","20","","","","1400","1400","1400","KKNACEHJ_01395","OJEIIDGO_03041","EDDCBIGE_02065","KOKFBEGO_00584"
"group_2966","","hypothetical protein","4","4","1","7","30","","","","1217","1217","1217","KKNACEHJ_03390","OJEIIDGO_03905","EDDCBIGE_02779","KOKFBEGO_02298"
"pth","","Peptidyl-tRNA hydrolase","4","4","1","220","5","","","","560","560","560","KKNACEHJ_00829","OJEIIDGO_03439","EDDCBIGE_03067","KOKFBEGO_02921"
"group_2968","","hypothetical protein","4","4","1","64","17","","","","2258","2258","2258","KKNACEHJ_00482","OJEIIDGO_00294","EDDCBIGE_00875","KOKFBEGO_01189"
"group_2969","","hypothetical protein","4","4","1","74","14","","","","206","206","206","KKNACEHJ_02812","OJEIIDGO_02437","EDDCBIGE_00850","KOKFBEGO_00789"
"serC","","Phosphoserine aminotransferase","4","4","1","31","18","","","","926","1079","1040","KKNACEHJ_00827","OJEIIDGO_03483","EDDCBIGE_00337","KOKFBEGO_00253"
"group_2970","","hypothetical protein","4","4","1","120","4","","","","398","398","398","KKNACEHJ_01061","OJEIIDGO_01815","EDDCBIGE_02167","KOKFBEGO_02092"
"novN","","Decarbamoylnovobiocin carbamoyltransferase","4","4","1","180","6","","","","1733","1733","1733","KKNACEHJ_03601","OJEIIDGO_02883","EDDCBIGE_02607","KOKFBEGO_02519"
"group_2972","btuB_8","Vitamin B12 transporter BtuB","4","4","1","153","7","","","","1832","1832","1832","KKNACEHJ_01595","OJEIIDGO_03820","EDDCBIGE_02048","KOKFBEGO_02682"
"group_2973","","hypothetical protein","4","4","1","54","2","","","","449","449","449","KKNACEHJ_03590","OJEIIDGO_03721","EDDCBIGE_02742","KOKFBEGO_03526"
"rplU","","50S ribosomal protein L21","4","4","1","11","26","","","","311","311","311","KKNACEHJ_00635","OJEIIDGO_01929","EDDCBIGE_00166","KOKFBEGO_00363"
"group_2975","","hypothetical protein","4","4","1","43","11","","","","914","914","914","KKNACEHJ_01268","OJEIIDGO_02333","EDDCBIGE_00367","KOKFBEGO_01496"
"aceK","","Isocitrate dehydrogenase kinase/phosphatase","4","4","1","26","14","","","","1733","1733","1733","KKNACEHJ_00705","OJEIIDGO_01933","EDDCBIGE_01713","KOKFBEGO_01994"
"group_2977","","hypothetical protein","4","4","1","115","7","","","","185","185","185","KKNACEHJ_02663","OJEIIDGO_00376","EDDCBIGE_01395","KOKFBEGO_03260"
"resA_5","","Thiol-disulfide oxidoreductase ResA","4","4","1","42","15","","","","1373","1373","1373","KKNACEHJ_03731","OJEIIDGO_03182","EDDCBIGE_00952","KOKFBEGO_01885"
"group_2979","","hypothetical protein","4","4","1","212","1","","","","266","266","266","KKNACEHJ_00896","OJEIIDGO_01955","EDDCBIGE_03625","KOKFBEGO_03469"
"group_298","","hypothetical protein","4","4","1","80","15","","","","3455","6119","5453","KKNACEHJ_00860","OJEIIDGO_03618","EDDCBIGE_02424","KOKFBEGO_01333"
"group_2980","","hypothetical protein","4","4","1","95","10","","","","1448","1448","1448","KKNACEHJ_02051","OJEIIDGO_03010","EDDCBIGE_00835","KOKFBEGO_03155"
"group_2981","","hypothetical protein","4","4","1","130","2","","","","191","191","191","KKNACEHJ_01535","OJEIIDGO_00702","EDDCBIGE_03309","KOKFBEGO_03588"
"walR_3","","Transcriptional regulatory protein WalR","4","4","1","67","2","","","","719","719","719","KKNACEHJ_01151","OJEIIDGO_02817","EDDCBIGE_01468","KOKFBEGO_01813"
"group_2983","","hypothetical protein","4","4","1","2","17","","","","1214","1214","1214","KKNACEHJ_02224","OJEIIDGO_01618","EDDCBIGE_03689","KOKFBEGO_03722"
"recF_1","","DNA replication and repair protein RecF","4","4","1","9","47","","","","1520","1520","1520","KKNACEHJ_00413","OJEIIDGO_00250","EDDCBIGE_00487","KOKFBEGO_00317"
"dck","","Deoxyadenosine/deoxycytidine kinase","4","4","1","19","3","","","","623","623","623","KKNACEHJ_00695","OJEIIDGO_00100","EDDCBIGE_01527","KOKFBEGO_00702"
"nfuA_1","","Fe/S biogenesis protein NfuA","4","4","1","31","6","","","","257","257","257","KKNACEHJ_02258","OJEIIDGO_03472","EDDCBIGE_00348","KOKFBEGO_00264"
"group_2987","","hypothetical protein","4","4","1","32","19","","","","524","524","524","KKNACEHJ_01653","OJEIIDGO_04017","EDDCBIGE_01053","KOKFBEGO_00450"
"group_2988","","hypothetical protein","4","4","1","179","4","","","","491","491","491","KKNACEHJ_00836","OJEIIDGO_01125","EDDCBIGE_01871","KOKFBEGO_01479"
"group_2989","","hypothetical protein","4","4","1","75","16","","","","962","962","962","KKNACEHJ_03791","OJEIIDGO_01210","EDDCBIGE_02710","KOKFBEGO_01277"
"tolQ_1","","Tol-Pal system protein TolQ","4","4","1","72","4","","","","488","818","653","KKNACEHJ_00884","OJEIIDGO_00554","EDDCBIGE_03673","KOKFBEGO_02635"
"group_2990","","hypothetical protein","4","4","1","281","1","","","Investigate","491","491","491","KKNACEHJ_00018","OJEIIDGO_00155","EDDCBIGE_03408","KOKFBEGO_03320"
